Course,Credit
ACT201,3
ACT202,3
ACT310,3
ACT320,3
ACT360,3
ACT370,3
ACT380,3
ACT410,3
ACT430,3
AMCS502,3
AMCS504,3
AMCS505,3
ANT101,3
ARC111,4.5
ARC112,4.5
ARC121,3
ARC122,3
ARC123,3
ARC131,3
ARC133,1.5
ARC200,1
ARC213,4.5
ARC214,4.5
ARC215,4.5
ARC241,3
ARC242,3
ARC251,3
ARC261,3
ARC262,3
ARC263,3
ARC264,1
ARC271,3
ARC272,3
ARC273,1
ARC281,2
ARC282,2
ARC283,2
ARC293,3
ARC310,3
ARC316,4.5
ARC317,6
ARC318,6
ARC324,3
ARC334,1.5
ARC343,3
ARC344,2
ARC384,3
ARC410,3
ARC419,6
ARC437,1.5
ARC438,3
ARC445,2
ARC453,3
ARC455,3
ARC474,3
ARC492,1.5
ARC510,4.5
ARC576,3
ARC598,1.5
BBT203,3
BBT221,3
BBT230,3
BBT312,3
BBT312L,1
BBT314,3
BBT314L,1
BBT315,3
BBT316,3
BBT316L,1
BBT317,3
BBT318,3
BBT335,3
BBT413,3
BBT413L,1
BBT415,3
BBT415L,1
BBT416,3
BBT417,3
BBT419,3
BBT421,3
BBT423,3
BBT424,3
BBT425,3
BBT427,3
BBT601,3
BBT608,3
BBT609,3
BBT615,3
BBT616,3
BBT622,3
BBT623,3
BBT631,3
BBT638,3
BBT639,3
BBT654,3
BBT671,3
BBT685,3
BEN205,3
BIO103,3
BIO103L,1
BIO201,3
BIO201L,1
BIO202,3
BIO202L,1
BSC201,3
BUS112,3
BUS135,3
BUS172,3
BUS173,3
BUS251,3
BUS500,3
BUS501,3
BUS505,3
BUS511,3
BUS516,3
BUS518,3
BUS520,3
BUS525,3
BUS530,3
BUS535,3
BUS601,3
BUS620,3
BUS635,3
BUS650,3
BUS685,3
BUS690,3
BUS700,2
CEE100,3
CEE110,3
CEE209,3
CEE210,3
CEE211,3
CEE211L,1
CEE212,3
CEE212L,1
CEE213,3
CEE214,3
CEE214L,1
CEE215,3
CEE240,3
CEE240L,1
CEE250,3
CEE250L,1
CEE260,3
CEE271L,1
CEE310,3
CEE330,3
CEE331,3
CEE335,3
CEE340,3
CEE350,3
CEE360,3
CEE360L,1
CEE370,3
CEE371L,1
CEE373,3
CEE373L,1
CEE415,3
CEE430,3
CEE431,3
CEE435,3
CEE460,3
CEE470,3
CEE475,3
CHE101,3
CHE101L,1
CHE201,3
CHE202,3
CHE202L,1
CHE203,3
CHE203L,1
CHN101,3
CHN201,3
CSE115,3
CSE115L,1
CSE173,3
CSE215,3
CSE215L,1
CSE225,3
CSE225L,1
CSE231,3
CSE231L,0
CSE273,3
CSE299,1
CSE311,3
CSE311L,0
CSE323,3
CSE325,3
CSE327,3
CSE331,3
CSE331L,0
CSE332,3
CSE332L,0
CSE338,3
CSE338L,0
CSE373,3
CSE411,3
CSE413,3
CSE413L,0
CSE425,3
CSE435,3
CSE435L,0
CSE438,3
CSE438L,0
CSE440,3
CSE445,3
CSE465,3
CSE482,3
CSE482L,0
CSE491,3
CSE495A,3
CSE495B,3
CSE499A,1.5
CSE499B,1.5
CSE562,3
CSE564,3
DEV564,3
DEV565,3
DEV569,3
ECO101,3
ECO103,3
ECO104,3
ECO135,3
ECO172,3
ECO173,3
ECO201,3
ECO204,3
ECO245,3
ECO301,3
ECO304,3
ECO317,3
ECO328,3
ECO348,3
ECO354,3
ECO372,3
ECO380,3
ECO406,3
ECO414,3
ECO415,3
ECO472,3
ECO490,3
ECO501,3
ECO504,3
ECO511,3
ECO613,3
ECO650,3
ECO682,3
ECO687,3
EEE111,3
EEE111L,1
EEE141,3
EEE141L,1
EEE154,1
EEE211,3
EEE211L,1
EEE221,3
EEE221L,0
EEE241,3
EEE241L,1
EEE299,1
EEE311,3
EEE311L,1
EEE312,3
EEE312L,1
EEE321,3
EEE321L,0
EEE331,3
EEE331L,0
EEE332,3
EEE332L,0
EEE333,3
EEE336,3
EEE336L,0
EEE342,3
EEE342L,1
EEE361,3
EEE362,3
EEE362L,1
EEE363,3
EEE363L,1
EEE411,3
EEE411L,0
EEE413,3
EEE413L,0
EEE415,3
EEE452,3
EEE453,3
EEE453L,0
EEE461,3
EEE462,3
EEE464,3
EEE465,3
EEE494,3
EEE499A,1.5
EEE499B,1.5
EEE551,3
EMB500,3
EMB501,3
EMB502,3
EMB510,3
EMB520,3
EMB601,3
EMB602,3
EMB620,3
EMB650,3
EMB660,3
EMB670,3
EMB690,3
EMPG500,3
EMPG510,3
EMPG530,3
EMPG555,3
EMPG570,3
EMPH601,3
EMPH609,3
EMPH611,3
EMPH631,3
EMPH642,3
EMPH644,3
EMPH653,3
EMPH663,3
EMPH671,3
EMPH672,3
EMPH678,3
EMPH681,3
EMPH704,3
EMPH706,3
EMPH711,3
EMPH712,3
EMPH713,3
EMPH742,3
EMPH745,3
EMPH771,3
EMPH781,3
EMPH842,3
ENG102,3
ENG103,3
ENG105,3
ENG111,3
ENG115,3
ENG210,3
ENG216,3
ENG220,3
ENG230,3
ENG307,3
ENG312,3
ENG337,3
ENG341,3
ENG346,3
ENG371,3
ENG381,3
ENG401,3
ENG417,3
ENG431,3
ENG458,3
ENG466,3
ENG481,3
ENG501,3
ENG511,3
ENG522,3
ENG525,3
ENG552,3
ENG555,3
ENG557,3
ENG570,3
ENG573,3
ENG574,3
ENG576,3
ENG581,3
ENG602,3
ENG604,3
ENG613,3
ENG632,3
ENV102,3
ENV107,3
ENV107L,1
ENV172,3
ENV203,3
ENV204,3
ENV205,3
ENV207,3
ENV209,3
ENV214,3
ENV215,4
ENV260,3
ENV311,3
ENV315,3
ENV316,3
ENV373,3
ENV405,3
ENV409,3
ENV421,3
ENV436,3
ENV455,3
ENV501,3
ENV502,3
ENV602,3
ENV606,3
ENV609,3
ENV627,3
ENV632,3
ENV635,3
ENV649,3
ENV652,3
ETE111,3
ETE111L,1
ETE141,3
ETE141L,1
ETE211,3
ETE211L,1
ETE221,3
ETE221L,0
ETE241,3
ETE241L,1
ETE299,1
ETE311,3
ETE311L,1
ETE312,3
ETE312L,0
ETE321,3
ETE321L,0
ETE331,3
ETE331L,0
ETE332,3
ETE332L,0
ETE333,3
ETE334,3
ETE334L,0
ETE335,3
ETE335L,0
ETE361,3
ETE412,3
ETE412L,0
ETE418,3
ETE418L,0
ETE419,3
ETE419L,0
ETE499A,1.5
ETE499B,1.5
ETH201,3
FIN254,3
FIN410,3
FIN433,3
FIN435,3
FIN440,3
FIN444,3
FIN455,3
FIN464,3
FIN470,3
FIN480,3
FIN635,3
FIN637,3
FIN639,3
FIN642,3
FIN643,3
FIN644,3
FIN645,3
FIN647,3
FIN650,3
GEO205,3
HAS501,3
HAS505,3
HAS509,3
HAS514,3
HIS101,3
HIS102,3
HIS103,3
HIS203,3
HIS205,3
HRM340,3
HRM360,3
HRM370,3
HRM380,3
HRM450,3
HRM470,3
HRM602,3
HRM603,3
HRM604,3
HRM610,3
HRM631,3
HRM660,3
INB350,3
INB372,3
INB400,3
INB410,3
INB480,3
INB490,3
LAW101,3
LAW200,3
LBA104,3
MAT116,3
MAT120,3
MAT125,3
MAT130,3
MAT250,3
MAT350,3
MAT361,3
MAT483,3
MCJ101,3
MCJ102,3
MCJ103,3
MCJ104,3
MCJ201,3
MCJ203,3
MCJ205,3
MCJ303,3
MCJ304,3
MCJ305,3
MGT212,3
MGT314,3
MGT321,3
MGT330,3
MGT351,3
MGT360,3
MGT368,3
MGT410,3
MGT460,3
MGT489,3
MGT490,3
MGT610,3
MGT656,3
MGT680,3
MIC201,3
MIC202,3
MIC203,3
MIC206,3
MIC207,3
MIC307,3
MIC309,3
MIC311,3
MIC314,3
MIC315,3
MIC315L,1
MIC316,3
MIC316L,1
MIC317,3
MIC317L,1
MIC318,3
MIC401,3
MIC412,3
MIC413,3
MIC413L,1
MIC414,3
MIC414L,1
MIC415,3
MIC415L,1
MIS107,3
MIS207,3
MIS210,3
MIS310,3
MIS320,3
MIS410,3
MIS450,3
MIS470,3
MIS499,3
MIS651,3
MIS652,3
MIS654,3
MKT202,3
MKT330,3
MKT337,3
MKT344,3
MKT355,3
MKT382,3
MKT412,3
MKT417,3
MKT460,3
MKT465,3
MKT470,3
MKT475,3
MKT621,3
MKT623,3
MKT624,3
MKT627,3
MKT628,3
MKT629,3
MKT633,3
MKT634,3
MKT636,3
PAD201,3
PBH101,3
PBH101L,1
PBH602,3
PBH609,3
PBH611,3
PBH631,3
PBH642,3
PBH644,3
PBH653,3
PBH663,3
PBH671,3
PBH672,3
PBH678,3
PBH681,3
PBH701,3
PBH704,3
PBH711,3
PBH712,3
PBH713,3
PBH714,3
PBH742,3
PBH745,3
PBH761,3
PBH771,3
PBH781,3
PBH782,3
PBH842,3
PHI101,3
PHI104,3
PHI401,3
PHY107,3
PHY107L,1
PHY108,3
PHY108L,1
POL101,3
POL104,3
POL202,3
PPG510,3
PPG515,3
PPG540,3
PSY101,3
PSY101L,1
SCM310,3
SCM320,3
SCM450,3
SCM601,3
SCM603,3
SCM605,3
SCM607,3
SCM608,3
SOC101,3
SOC201,3
TNM201,3
WMS201,3
